Top 100 All Executables sorted by Core-hours (Total Core Hours(M): 583.068996 )

    CoreHrs   # Runs  # Users  # Accts  Exec
    -------   ------  -------  -------  ----
102,783,573      206        5        2  CESM*
 41,253,243    6,669       17       10  Gromacs*
 30,294,875   34,173       22        2  SpEC
 27,354,202      588        3        3  main
 25,112,325    1,965        4        2  Chroma*
 25,079,310   75,731       59       30  VASP*
 23,670,676  136,745       68       26  QE*
 23,603,855      194        2        1  fornax
 17,996,761  183,218       29       13  epw.x
 16,724,727    2,273       32       14  Cactus*
 14,793,790    7,667        3        5  ufs_model.x
 13,081,300  125,532        7        5  rockstar-galaxies
 12,725,038    4,164       17        9  ADCIRC*
 12,450,290       93        4        1  DNS2d*
 11,803,015    1,375       21        8  NAMD*
 10,645,140      166        4        1  workerbee
  9,025,424   79,506      273      154  Python*
  8,026,459   27,586       29       14  BerkeleyGW*
  7,784,732    6,187        1        2  ks_spectrum*
  7,188,585   58,363        1        2  hmc_tm
  6,603,399    1,716        9        6  namd3
  6,359,898      100        1        1  sgw.x
  6,221,717      331        1        2  gene_frontera
  6,113,019      148        2        2  cgs_fdm
  5,547,103      949        5        3  SWMF.exe
  5,491,305    1,757       21       10  GIZMO*
  5,295,417       58        1        1  overlap_curseq
  4,719,556      755        8        3  SpecFEM3D*
  4,523,762  421,975       55       27  perl
  3,766,218       47        4        1  ENZO*
  3,701,768      197        3        3  athena*
  3,241,582      100        2        1  DSMC-pro
  3,018,228  229,681       29       18  LAMMPS*
  2,793,696      323        4        4  WRF*
  2,612,573      279        4        4  Gadget*
  2,501,988       80        1        2  RSQSim*
  2,276,733   29,193        6        4  ctqmc
  2,219,047       60        2        3  Flash4*
  2,144,308       18        1        1  mpipycitcoms
  2,073,228    3,374       10        9  Siesta*
  2,002,182    2,876        2        1  astrobear*
  1,958,307    5,963        2        3  drift_diffusion
  1,869,478      181        2        1  emod3d-mpi
  1,829,941      230        1        1  aims.241216.scalapack.mpi.x
  1,796,004       48        1        1  3D_2-3clubbed_prod.x
  1,731,839       56        1        1  rhea_earth
  1,667,348       45        1        1  20250709.tristan-mp2d.bimaxdrive-heatflux.wallEBghosts.namedrestart
  1,473,220       40        1        1  rt_twostream_driven_2x1v_envelop
  1,423,639  210,987        6        4  dmft2
  1,416,825       75        1        1  newt
  1,360,851      132        1        1  ShengBTE
  1,360,536    1,623        5        2  ns.exe
  1,318,411   79,842        4        3  lapw1c
  1,263,921      236        3        3  aspect-release
  1,235,827       84        3        3  CitcomS*
  1,232,560      224        2        3  out_user_fortran
  1,194,827       30        1        1  2p5D_2-3clubbed_prod.x
  1,192,557      603        3        3  julia
  1,180,377      252        1        2  cgs_vfp
  1,168,363      839        1        1  OverlapInverterAll
  1,155,954       17        1        1  shock.Linux
  1,135,439       35        2        2  tristan-mp3d
  1,077,875       20        1        1  taddexp3d
  1,056,201      225        3        1  cgs_inp
  1,052,169       84        1        1  waveqlab3d
  1,006,730      291        1        1  ufs_model
    914,975      146        1        2  ChaNGa.smp
    863,592      422        7        5  exec
    799,793       21        1        1  20250717.tristan-mp2d.bimaxdrive-heatflux.wallEBghosts.delay-exp-lap729720
    782,609    1,866        7        3  Abinit*
    737,583      486        1        1  StochasticSandwich_3pt_Connect
    728,735       29        2        4  psolve
    716,741       32        1        1  harm3d
    700,495    9,269        6        2  Amber*
    677,809       23        1        1  fornax-3d
    669,624       25        1        1  rt_twostream_driven_2x1v_envelop_nonuniformv
    623,082      117        4        5  lmp
    610,707        7        1        1  MHDAM3d.Linux.64.mpicxx.mpif90.OPTHIGH.MPI.OPENMPCCOMPOMP_IPS_newSigma2_OHSpuis_1d_2025p47.ex
    586,333      150        3        2  eppic.x
    573,432       14        1        1  gkeyll
    565,446       44        2        2  rt_vlasov_sr_nonuniformv_pulsar_counter
    561,871        1        1        1  main.out
    516,057      215        3        1  EPPIC
    471,987      117        1        2  SeisSol_Release_sskx_6_viscoelastic2
    430,932    7,535        1        1  mhd_sim_driver
    420,469      223        5        2  gkyl
    373,929       44        2        1  HadronsXmlRun
    372,152      748        5        2  arts
    347,876      438        2        1  dynamics.x
    339,789        2        1        1  fornax-3d-newE
    336,960       10        1        1  fornax-bfield
    333,811  289,516      191      106  gawk
    332,394      669       64       18  OpenFOAM*
    288,457      234        5        3  aspect
    273,910   11,521        1        1  aims.250320_1.scalapack.mpi.x
    271,440    4,151        1        1  orca
    269,061       56        1        2  MHDAM3d.Linux.64.mpicxx.mpif90.OPTHIGH.MPI.OPENMPCCOMPOMP_IPS_newSigma.ex
    266,404      697        1        1  farms-opt
    265,866      392        2        1  nek5000
    246,847       34        2        2  fds_impi_intel_linux
