function,count,per_thread,per_rank,call_max_s,call_min_s,total_s,exclusive_s,thread_max_s,thread_min_s,overhead_s
"ddot_",2574,2574,2574,9.723007679e-06,2.309679985e-07,1.044293866e-03,1.044293866e-03,1.044293866e-03,1.044293866e-03,3.582651727e-03
"dscal_",804,804,804,5.224384367e-04,3.483146429e-07,8.557271212e-04,8.557271212e-04,8.557271212e-04,8.557271212e-04,1.119056717e-03
"zcopy_",1634,1634,1634,1.536105759e-03,3.287568688e-07,2.354956232e-03,2.354956232e-03,2.354956232e-03,2.354956232e-03,2.274301834e-03
"zdotc_",596,596,596,5.798125640e-04,4.032626748e-07,8.729882538e-04,8.729882538e-04,8.729882538e-04,8.729882538e-04,8.295495063e-04
"zgemm_",2410,2410,2410,2.489274368e-03,1.392327249e-06,9.318524040e-03,9.318524040e-03,9.318524040e-03,9.318524040e-03,3.354386427e-03
"zhemm_",22,22,22,7.880395278e-04,2.907589078e-06,8.538868278e-04,8.538868278e-04,8.538868278e-04,8.538868278e-04,3.062095493e-05
"dznrm2_",1414,1414,1414,6.402516738e-04,5.392357707e-07,1.614783891e-03,1.614783891e-03,1.614783891e-03,1.614783891e-03,1.968092285e-03
"dgetrf_",10,10,10,1.466403715e-03,2.229586244e-06,1.491270959e-03,1.491270959e-03,1.491270959e-03,1.491270959e-03,1.391861588e-05
"dgetri_",10,10,10,5.318578333e-04,1.010484993e-06,5.475487560e-04,5.475487560e-04,5.475487560e-04,5.475487560e-04,1.391861588e-05
"zhpev_",26,26,26,1.000055205e-02,2.160016447e-05,1.059242152e-02,1.059242152e-02,1.059242152e-02,1.059242152e-02,3.618840128e-05
