job_name,test_case,config,nodes,ntasks,peak_enabled,start_time,end_time,elapsed_seconds,exit_code,slurm_job_id
abinit_test0_N2_nopeak,test0,N2_nopeak,2,96,false,2026-07-07 02:21:41,2026-07-07 02:21:45,4,0,3281068
abinit_test0_n1_nopeak,test0,n1_nopeak,1,1,false,2026-07-07 02:26:41,2026-07-07 02:26:45,4,0,3281065
abinit_test0_n24_nopeak,test0,n24_nopeak,1,24,false,2026-07-07 02:31:43,2026-07-07 02:31:46,3,0,3281066
abinit_test0_n48_nopeak,test0,n48_nopeak,1,48,false,2026-07-07 02:41:45,2026-07-07 02:41:49,4,0,3281067
abinit_test0_N2_peak,test0,N2_peak,2,96,true,2026-07-07 02:36:44,2026-07-07 02:54:30,1066,255,3281074
abinit_test0_N8_nopeak,test0,N8_nopeak,8,384,false,2026-07-07 08:03:53,2026-07-07 08:03:58,5,0,3281069
abinit_test0_N16_nopeak,test0,N16_nopeak,16,768,false,2026-07-07 08:14:37,2026-07-07 08:14:43,6,0,3281070
abinit_test0_n48_peak,test0,n48_peak,1,48,true,2026-07-07 08:03:53,2026-07-07 08:21:09,1036,255,3281073
abinit_test0_N8_peak,test0,N8_peak,8,384,true,2026-07-07 08:08:54,2026-07-07 08:26:24,1050,255,3281075
abinit_test0_N16_peak,test0,N16_peak,16,768,true,2026-07-07 08:14:37,2026-07-07 08:32:30,1073,255,3281076
abinit_test0_n24_peak,test0,n24_peak,1,24,true,2026-07-07 07:53:49,2026-07-07 09:36:03,6134,255,3281072
abinit_test0_n1_peak,test0,n1_peak,1,1,true,2026-07-07 07:48:48,2026-07-07 09:40:54,6726,0,3281071
